Frames,Videos,Nose-Eye,Eye-Shoulder,Eye-Midshoulder,Eye-Wither,Wither-Midshoulder,Midshoulder-Shoulder,Hip-Ischium,Ischium-Stifle,Stifle-Hip,Stifle-Offhindhock,Offhindhock-Offhindfetlock,Stifle-Nearhindhock,Nearhindhock-Nearhindfetlock,Girth-Offknee,Offknee-Offfrontfetlock,Elbow-Nearknee,Nearknee-Nearfrontfetlock
0131.png,BrownHorseinShadow,78.72102642,88.1192374,75.02666193,100.4639239,43.8634244,39.11521443,41.86884283,73.55270219,82.22530024,51.15662225,64.88451279,50.92150823,57.97413216,74.67261881,31.95309062,87.86353055,47.04253395
0132.png,BrownHorseinShadow,72.49827584,92.84934033,76.02631123,110.1680534,48.87739764,38.32753579,38.41874542,76.4198927,82.96987405,51.0881591,66.64082833,51.623638,58.24087911,81.83520025,36.35931793,85.70297544,46
0133.png,BrownHorseinShadow,76.55716818,88.39117603,76.10519036,110.0727032,48.37354649,37.48332963,36.61966685,73.75635566,79.07591289,55.57877293,66.73080248,51.623638,59.20304046,81.60882305,37.12142239,81.56592426,45.01110974
0134.png,BrownHorseinShadow,74.6860094,86.37708029,78.77182237,110.4626634,43.41658669,41.10960958,38.83297568,76.38062582,78.44743463,57.07889277,68.60029154,56.35601121,59.48108943,79.20227269,41.10960958,77.89736838,41.01219331
0135.png,BrownHorseinShadow,74.3236167,82.21921916,85.15867542,117.1708155,43.41658669,40.44749683,37.80211634,70.72481884,76.40026178,61.39218191,62.64982043,54.56189146,61.03277808,84.64632302,37.64306045,74.96665926,43.0464865
0138.png,BrownHorseinShadow,75.59100476,86.34813258,83.52245207,124.036285,46.40043103,44.18144407,38.01315562,71.50524456,76.90253572,61.66036004,61.40032573,59.16924877,56.30275304,84.17244205,42,64.63745044,45.39823785
0139.png,BrownHorseinShadow,70.38465742,82.73451517,94.5568612,133.8431918,45,40.79215611,36.40054945,69.52697318,76.68767828,62.16912417,62.17716623,58.18075283,57.00877125,85.0411665,43.18564576,61.58733636,44.40720662
0140.png,BrownHorseinShadow,69.07966416,81.39410298,92.6984358,136.1910423,47.50789408,40.44749683,42.05948169,70.09279564,72.69112738,65.9241989,59.05929224,59.05929224,55.15432893,82.13403679,42.75511665,60.20797289,46.87216658
0141.png,BrownHorseinShadow,70.00714249,79.76214641,86.40023148,136.5650028,56.08029957,35.22782991,39.40812099,65.8559033,72.99315036,65.62011887,60.8276253,58.5918083,56.08029957,87.00574694,46.09772229,56.93856338,46.87216658
0142.png,BrownHorseinShadow,72.01388755,71.84705979,81.60882305,128.7982919,53.60037313,35.6931366,41.61730409,65.29931087,74.43117626,64.38167441,60.8276253,55.47071299,59.09314681,89.87213139,48.76474136,54.56189146,46.87216658
0143.png,BrownHorseinShadow,73.34848328,72.36711961,85.16454661,128.2809417,51.31276644,38.60051813,42.72001873,68.76772499,75.53806987,64.03124237,60.8276253,60.53924347,55.54277631,95.96353474,48.46648326,56.79788728,45.35416188
0144.png,BrownHorseinShadow,74.73285757,75.70997292,82.97590012,128.1288414,54.91812087,34.71310992,42.19004622,69.02897942,76.32168761,64.03124237,60.8276253,55.07267925,58.69412236,92.65527508,49.39635614,55.03635162,47.12748667
0145.png,BrownHorseinShadow,73.00684899,77.66595136,84.92938243,133.3604139,57.20139858,34.71310992,41.0487515,66.06814664,74.43117626,66.06814664,60.8276253,57.98275606,56.64803615,92.65527508,49.39635614,51.26402247,46.4865572
0146.png,BrownHorseinShadow,74.09453421,78.33900689,90.25519376,135.5064574,56.0357029,36.40054945,46.40043103,65.19202405,77.23341246,68.11754546,60.8276253,55.56977596,58.52349955,97.20082304,50.15974482,48.05205511,47.16990566
0147.png,BrownHorseinShadow,76.89603371,82.96987405,94.76286192,136.8941197,54.91812087,36.76955262,46.61544808,65.94694838,77.1621669,68.18357573,60.8276253,53.66563146,56.04462508,92.00543462,50.99019514,48,48.10405388
